most_recent_instance_classifications,rule_description,tool_name,rule_tags,tool_guid,most_recent_instance_location_path,most_recent_instance_analysis_key,updated_at,dismissed_by,url,rule_id,most_recent_instance_category,most_recent_instance_message_text,dismissed_at,most_recent_instance_environment,instances_url,tool_version,created_at,number,html_url,most_recent_instance_location_start_line,rule_security_severity_level,state,most_recent_instance_location_start_column,rule_severity,most_recent_instance_location_end_line,most_recent_instance_ref,dismissed_reason,most_recent_instance_state,fixed_at,rule_name,most_recent_instance_location_end_column,most_recent_instance_commit_sha,dismissed_comment
[],API Gateway domain name uses outdated SSL/TLS protocols.,defsec,[],,iac-misconfiguration/main.tf,.github/workflows/tfsec.yml:tfsec,2024-01-10T20:19:36Z,,https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/10,aws-api-gateway-use-secure-tls-policy,.github/workflows/tfsec.yml:tfsec,Domain name is configured with an outdated TLS policy.,,{},https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/10/instances,,2024-01-10T19:56:53Z,10,https://github.com/austimkelly/swiss-cheese/security/code-scanning/10,33,,open,1,error,34,refs/heads/main,,open,,,0,dc48145b638ad790a2b3437d7e83b0909d99ae52,
[],API Gateway domain name uses outdated SSL/TLS protocols.,defsec,[],,iac-misconfiguration/main.tf,.github/workflows/tfsec.yml:tfsec,2024-01-10T20:19:36Z,,https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/9,aws-api-gateway-use-secure-tls-policy,.github/workflows/tfsec.yml:tfsec,Domain name is configured with an outdated TLS policy.,,{},https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/9/instances,,2024-01-10T19:56:53Z,9,https://github.com/austimkelly/swiss-cheese/security/code-scanning/9,37,,open,1,error,37,refs/heads/main,,open,,,0,dc48145b638ad790a2b3437d7e83b0909d99ae52,
[],API Gateway domain name uses outdated SSL/TLS protocols.,defsec,[],,iac-misconfiguration/main.tf,.github/workflows/tfsec.yml:tfsec,2024-01-10T20:19:36Z,,https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/8,aws-api-gateway-use-secure-tls-policy,.github/workflows/tfsec.yml:tfsec,Domain name is configured with an outdated TLS policy.,,{},https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/8/instances,,2024-01-10T19:56:53Z,8,https://github.com/austimkelly/swiss-cheese/security/code-scanning/8,41,,open,1,error,41,refs/heads/main,,open,,,0,dc48145b638ad790a2b3437d7e83b0909d99ae52,
[],Flask app is run in debug mode,CodeQL,"['external/cwe/cwe-215', 'external/cwe/cwe-489', 'security']",,broken-auth/broken-auth.py,.github/workflows/codeql.yml:analyze,2023-11-28T19:39:21Z,,https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/7,py/flask-debug,/language:python,A Flask app appears to be run in debug mode. This may allow an attacker to run arbitrary code through the debugger.,,"{""language"":""python""}",https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/7/instances,2.16.1,2023-11-28T17:59:08Z,7,https://github.com/austimkelly/swiss-cheese/security/code-scanning/7,64,high,open,5,error,64,refs/heads/main,,open,,py/flask-debug,24,dc48145b638ad790a2b3437d7e83b0909d99ae52,
[],Flask app is run in debug mode,CodeQL,"['external/cwe/cwe-215', 'external/cwe/cwe-489', 'security']",,broken-auth/broken-auth-.py,.github/workflows/codeql.yml:analyze,2023-11-28T19:39:21Z,,https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/6,py/flask-debug,/language:python,A Flask app appears to be run in debug mode. This may allow an attacker to run arbitrary code through the debugger.,,"{""language"":""python""}",https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/6/instances,2.16.1,2023-11-28T01:44:26Z,6,https://github.com/austimkelly/swiss-cheese/security/code-scanning/6,64,high,fixed,5,error,64,refs/heads/main,,fixed,2023-11-28T19:39:19Z,py/flask-debug,24,8e17c6275f74fde464b74a48cdf266b6789c89fd,
[],Flask app is run in debug mode,CodeQL,"['external/cwe/cwe-215', 'external/cwe/cwe-489', 'security']",,ssrf/ssrf.py,.github/workflows/codeql.yml:analyze,2023-11-28T01:12:51Z,,https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/5,py/flask-debug,/language:python,A Flask app appears to be run in debug mode. This may allow an attacker to run arbitrary code through the debugger.,,"{""language"":""python""}",https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/5/instances,2.16.1,2023-11-28T00:57:08Z,5,https://github.com/austimkelly/swiss-cheese/security/code-scanning/5,28,high,open,5,error,28,refs/heads/main,,open,,py/flask-debug,24,dc48145b638ad790a2b3437d7e83b0909d99ae52,
[],Full server-side request forgery,CodeQL,"['external/cwe/cwe-918', 'security']",,ssrf/ssrf.py,.github/workflows/codeql.yml:analyze,2023-11-28T01:12:51Z,,https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/4,py/full-ssrf,/language:python,The full URL of this request depends on a user-provided value.,,"{""language"":""python""}",https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/4/instances,2.16.1,2023-11-28T00:57:08Z,4,https://github.com/austimkelly/swiss-cheese/security/code-scanning/4,10,critical,open,16,error,10,refs/heads/main,,open,,py/full-ssrf,33,dc48145b638ad790a2b3437d7e83b0909d99ae52,
[],Reflected server-side cross-site scripting,CodeQL,"['external/cwe/cwe-079', 'external/cwe/cwe-116', 'security']",,ssrf/ssrf.py,.github/workflows/codeql.yml:analyze,2023-11-28T01:12:51Z,,https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/3,py/reflective-xss,/language:python,Cross-site scripting vulnerability due to a user-provided value.,,"{""language"":""python""}",https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/3/instances,2.16.1,2023-11-28T00:57:08Z,3,https://github.com/austimkelly/swiss-cheese/security/code-scanning/3,10,medium,open,16,error,10,refs/heads/main,,open,,py/reflective-xss,38,dc48145b638ad790a2b3437d7e83b0909d99ae52,
[],Flask app is run in debug mode,CodeQL,"['external/cwe/cwe-215', 'external/cwe/cwe-489', 'security']",,xss/xss.py,.github/workflows/codeql.yml:analyze,2023-11-28T00:26:00Z,,https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/2,py/flask-debug,/language:python,A Flask app appears to be run in debug mode. This may allow an attacker to run arbitrary code through the debugger.,,"{""language"":""python""}",https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/2/instances,2.16.1,2023-11-28T00:20:17Z,2,https://github.com/austimkelly/swiss-cheese/security/code-scanning/2,18,high,open,5,error,18,refs/heads/main,,open,,py/flask-debug,35,dc48145b638ad790a2b3437d7e83b0909d99ae52,
[],Flask app is run in debug mode,CodeQL,"['external/cwe/cwe-215', 'external/cwe/cwe-489', 'security']",,idor/idor.py,.github/workflows/codeql.yml:analyze,2023-11-28T00:26:00Z,,https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/1,py/flask-debug,/language:python,A Flask app appears to be run in debug mode. This may allow an attacker to run arbitrary code through the debugger.,,"{""language"":""python""}",https://api.github.com/repos/austimkelly/swiss-cheese/code-scanning/alerts/1/instances,2.16.1,2023-11-28T00:20:17Z,1,https://github.com/austimkelly/swiss-cheese/security/code-scanning/1,42,high,open,5,error,42,refs/heads/main,,open,,py/flask-debug,24,dc48145b638ad790a2b3437d7e83b0909d99ae52,
